Words,Reading,Meaning,Type,Sentence,Translation
与える,あたえる,"to give someone, grant, bestow, present, award, provide",trans.,彼女はお金を与えた。,She gave money.
となる,となる,"to become, amount to",intrans.,数字は合計２３０となる。,The numbers total 230.
起こる,おこる,"to occur, happen",intrans.,何が起こったんだ？,What's happening?
付ける,つける,"to attach, join, add, append, affix, stick, wear, put on, allot",trans.,電気をつけて下さい。,Please turn on the lights.
送る,おくる,"to send, dispatch, transmit, take or escort, send off",trans.,それ誰に送るの？,Who are you sending that to?
続ける,つずける,"to continue, keep up, keep on",trans.,本を再び読み続けた。,I continued reading the book again.
感じる,かんじる,"to feel, sense, experience",ichidan,今朝は寒く感じる。,It feels cold this morning.
探す,さがす,"to search, look for, seek",trans.,財布探すの手伝ってくれない？,Can you help me find my wallet?
合う,あう,"to come together, merge, unite, meet, fit, match, suit, agree with, be correct, be profitable",intrans.,この道で合ってる？,Are you sure this is the right road?
信じる,しんじる,"to believe, place trust in, confide in, have faith in",trans.,僕は君の言葉を信じる。,I'll take your word for it.
求める,もとめる,"to want, wish for, request, demand, seek, search for, pursue, hunt, purchase, buy",trans.,名声を求めるな。,Don't seek fame.
落ちる,おちる,"to fall down, drop, fall, sink, fall onto",intrans.,秋には木の葉が落ちる。,"In autumn, the leaves fall from the trees."
見つける,みつける,"to discover, find, come across, detect, spot, locate",trans.,彼の家を見つけるのに苦労した。,I had a hard time finding his house.
選ぶ,えらぶ,"to choose, select",trans.,私はどちらを選ぶべきかわからない。,I don't know which one I should choose.
向かう,むかう,"to face, go towards, head towards",intrans.,彼女は明日東京に向かう。,She is leaving for Tokyo tomorrow.
払う,はらう,"to pay, brush off, wipe away, clear away, drive away, sell off",trans.,税金はどこで払うのですか。,Where do you pay your taxes?
付く,つく,"to be attached, be connected with, adhere, stick, cling",intrans.,この貯金には三分の利子が付く。,This savings account earns three quarters interest.
遅れる,おくれる,"to be late, be delayed, fall behind, be overdue, be outdated",intrans.,授業に遅れるよ。,I'm going to be late for class.
進む,すすむ,"to advance, go forward, precede, go ahead, make progress",intrans.,光は音よりも速く進む。,Light travels faster than sound.
驚く,おどろく,"to be surprised, be astonished",intrans.,それは驚くべき事だ。,It's amazing.
起こす,おこす,"to raise, raise up, set up, pick up, wake up, cause, bring about, lead to, start, begin",intrans.,倒れた椅子を起こした。,I set up a chair that had fallen.
失う,うしなう,"to lose, miss, concede",trans.,私はまだ望みを失っていない。,I have not lost all hope yet.
守る,まもる,"to protect, guard, defend, keep, abide, obey, observe, follow",trans.,予定は守らなければならない。,The schedule must be maintained.
勝つ,かつ,"to win, gain victory",intrans.,僕が多分勝てないと思ったと言った。,He said he thought I probably wouldn't win.
決める,きめる,"to decide, choose, determine, resolve, clinch",trans.,もう何をするか決めましたか。,Have you decided what to do yet?
生きる,いきる,"to live, exist, make a living, be in effect, be in use, function",intrans.,私たちは生きるために食べる。,We eat so that we can live.
上がる,あがる,"to rise, go up, come up, ascend, be raised, come in, improve, increase, be finished",intrans.,カーテンはまだ上がっていなかった。,The curtain has not yet risen.
変わる,かわる,"to change, be transformed, be altered, vary, be different, be uncommon, be unusual",intrans.,それにより状況が変る。,It changes the situation.
示す,しめす,"to show, demonstrate, tell, point out, indicate, represent, signify, display",trans.,彼はどの程度興味を示したのですか。,What degree of interest did he show?
怒る,おこる,"to get angry, get mad, tell someone off, scold",intrans.,彼は彼女のことをかんかんに怒っている。,He's very angry with her.
残る,のこる,"to remain, be left",intrans.,チケットは残ってた？,Were there any tickets left?
過ごす,すごす,"to pass (time), spend, overdo, drink, take care of, support, do too much",trans.,あなたと一緒に過ごすのが好き。,I like spending time with you.
調べる,しらべる,"to examine, look up, investigate, check up, sense, study, inquire, search",trans.,事故の原因を調べる。,Investigate the cause of the accident.
学ぶ,まなぶ,"to study (in depth), learn, take lessons in",godan,自然の脅威を学ぶ。,Learn about natural threats.
聞こえる,きこえる,"to be heard, be audible",intrans.,足音が聞こえなくなった。,The sound of the footsteps died away.
楽しむ,たのしむ,to enjoy,trans.,本を読んで楽しむ。,Enjoy reading books.
扱う,あつかう,"to deal with, treat, handle, take care of, entertain, operate, deal in",trans.,客をていねいに扱う。,Treat customers with care.
とする,とする,"to try to, be about to, decide to, take as, treat as, regard as, use for",suru,家を買おうとする人がたくさんいる。,There are many people trying to buy houses.
変える,かえる,"to change, alter, transform, convert, turn, vary, reform, revise, amend",trans.,態度を変える。,Change one's attitude.
盗む,ぬすむ,to steal,trans.,ゆうべ全財産を金庫ごと盗まれた。,"Last night all my money, safe and all, was stolen."
続く,つずく,"to continue, last on, go on, be unbroken, occur again and again, lead to, connect to",intrans.,今週は毎日暑い日が続いている。,It's been hot every day this week.
運ぶ,はこぶ,"to carry, transport, move, convey",trans.,その病人はすぐ救急車で病院に運ばれた。,The sick man was immediately taken to the hospital by ambulance.
当たる,あたる,"to be hit, strike, touch, be in contact, be affixed, be applicable, apply to",intrans.,風が帆に激しく当たった。,The wind hit the sails hard.
眠る,ねむる,"to sleep (not necessarily lying down), lie , idle, be dormant",intrans.,お茶を飲むと眠れなくなるよ。,Tea will keep you from sleeping.
表す,あらわす,"to represent, to signify, to stand for, to reveal, to show, to display, to express, to make widely known",trans.,考えたことを言葉で表す。,Express your thoughts in words.
受け取る,うけとる,"to receive, get, accept, take, interpret, understand",trans.,それが真実とはどうしても受け取れない。,I just can't accept that as the truth.
鳴る,なる,"to sound, ring, resound, echo, roar, rumble",intrans.,時計がコチコチ鳴っている。,The clock is ticking.
現れる,あらわれる,"to appear, come in sight, become visible, come out, materialise, be expressed, become apparent",intrans.,政界に新星が現れた。,A new star has arrived on the political scene.
負ける,まける,"to lose, be defeated, succumb, give in, surrender, yield, be inferior to",intrans.,彼はまだ一度も負けたことがない。,He has never lost a game yet.
暮らす,くらす,"to live, get along, spend (time)",intrans.,彼はどうやって暮らしているのだろう。,I wonder how he manages to live.
許す,ゆるす,"to permit, allow, approve, consent to, forgive, pardon, excuse, tolerate",trans.,事態は一刻の猶予も許さない。,The situation does not allow for a moment's respite.
戦う,たたかう,"to make war, wage war, got to war with, fight with, do battle, compete, struggle",intrans.,国家のために戦う。,Fight for one's country.
慣れる,なれる,"to get used to, grow accustomed, become familiar with, become skilled in",intrans.,海道の寒さに慣れる。,Get used to the cold of Hokkaido.
ようになる,ようになる,"to reach the point that, come to be that, turn into",intrans.,その新しい機械が用いられるようになるだろう。,That new machinery will be used.
行う,おこなう,"to perform, do, conduct oneself, carry out",trans.,小学校でもパソコンの授業が行われている。,Computer classes are also offered in elementary schools.
助ける,たすける,"to save, rescue, help, assist, support, provide aid, contribute, facilitate",trans.,困っている人を助ける。,Helping those in need
ようにする,ようにする,"to make sure to, to try to",suru,毎日運動するようにする。,Try to exercise daily.
喜ぶ,よろこぶ,"to be delighted, be glad, be pleased, congratulate, gratefully accept",godan,父は孫の誕生を心から喜んでくれた。,My father was so happy for the birth of his grandson.
泣く,なく,"to cry, weep, sob, howl",godan,子供は泣きながら寝入った。,The child cried himself to sleep.
終える,おえる,to finish,trans.,その日の日程を終える。,Finish the day's itinerary
訪れる,おとずれる,"to visit, call, arrive, come, appear",trans.,新しい季節が訪れた。,A new season has arrived.
耐える,たえる,"to bear, stand, endure, put up with, withstand, support, resist, be fit for",trans.intrans.,この金属は酸には耐えられない。,This metal cannot resist acid.
落とす,おとす,"to drop, to lose, to let fall, to shed, to cast, to pour in, to clean off",,,
増える,ふえる,"to increase, to multiply",,,
動く,うごく,"to move, to stir, to shift, to shake, to operate, to make a move, to take an action",,,
備える,そなえる,"to furnish with, to equip with, to provide, to prepare for,  to possess",,,
逃げる,にげる,"to escape, to run away",,,
戻る,もどる,"to turn back, to return, to recover, to rebound",,,
従う,したがう,"to obey, to abide by, to follow, to serve",,,
奪う,うばう,"to snatch away, to dispossess, to steal",,,
近づく,ちかずく,"to approach, to draw near, to get closer",,,
達する,たっする,"to reach, to get to, to arrive at",,,
間に合う,まにあう,"to be intimate for, to serve, to be good enough",,,
知る,しる,"to know, to be aware of, to cognise, to notice, to comprehend",,,
買う,かう,"to buy, to purchase, to value",,,
聞く,きく,"to hear, to listen, to ask, to enquire, to query, to learn of, to hear about",,,
出る,でる,"to leave, to exit, to go out, to come out, to get out",,,
会う,あう,"to meet, to encounter, to see",,,
作る,つくる,"to make, to produce, to manufacture, to build, to construct, to prepare, to create",,,
置く,置く,"to put, to place, to leave behind, to establish, to set up, to appoint, to place (trust, faith), to bear (in mind)",,,
使う,つかう,"to use, to make use of, to put to use",,,
書く,かく,"to write, to compose, to draw, to paint",,,
読む,よむ,"to read, to count",,,
食べる,たべる,to eat,,,
話す,はなす,"to talk, to speak, to converse, to chat, to tell, to explain, to narrate",,,
上げる,あげる,"to raise, to elevate, to do up, to launch, to surface, to deep-fry, to increase, to complete do",,,
住む,すむ,"to live, to reside, to inhabit, to dwell, to abide",,,
歩く,あるく,to walk,,,
働く,はたらく,"to work, to labor, labour, to function, to operate, to be effective, to come into a play",,,
飲む,のむ,"to drink, to gulp, to swallow, to take (medicine)",,,
終わる,おわる,"to finish, to end, to close",,,
死ぬ,しぬ,"to die, to pass away, to lose spirit, to lose vigor",,,
出す,だす,"to take out, to get out, to put out, to reveal, to show, to submit, to send, to serve (food)",,,
