W1,T1,W2,T2,W3,T3,W4,T4,W5,T5,W6,T6
誰かと出かける,to go out with someone,衝撃波,shock wave,検察,examination,世界的,worldwide,嘘をつく,to lie fellow,軍隊,troop
恋に落ちる,to fall in love,爆撃,bombing (raid),検出,detection,自発的,spontaneous,供給不足,to be ill-fed,問題,trouble
シングル,single,進撃,"advance, charge",車検,vehicle inspection,効果的,affective,栄養不良,to be ill-nourished,トラック,truck
離婚した,divorced,直撃,direct hit,探検隊,expedition team,保守的,conservative,行方不明になる,to be missing,本当に,truly
恋愛中,in love,出撃,"sortie, sally, attack",検索条件,search criteria,伝統的,traditional,避難する,to evacuate,信頼,trust
結婚の誓い,the vows of marriage,撃墜,shooting down (aircraft),被験者,test subject,定期的,periodic,損傷する,to damage,試す,try
あの花,the flowers,迎撃,intercept,再検討,re-examination,歴史的,historic,あふれさせる,to flood,チューブ,tube
愛してる,i love you,一撃,"blow, hit, stroke",探検家,explorer,典型的,typical,飢え死に,to die of hunger,トンネル,tunnel
友情,the friendship,撃ち合い,gunfight,検尿,urinalysis,国際的,international,救助する,to rescue,振り向く,turn
友だち,the friend,狙撃,"shooting, sniping",検問所,checkpoint,全面的,"total, complete",破壊する,to ravage,テレビ,TV
愛,love,攻撃的,"offensive, aggressive",検算,verification of accounts,具体的,concrete,崩壊する,to collapse,ツイン,twin
食前酒,the aperitif,撃ち抜く,to shoot out,検眼,eye examination,理想的,ideal,衝突する,to crash into,タイプ,type
花嫁,the bride,目撃者,witness,検視,"autopsy, inquest",一時的,temporary,安全に到達する,to reach safety,典型的な,typical
情熱,the passion,撃破,crushing,検疫,quarantine,肉体的,physical,避難する,to take refuge,通常,typically
結婚披露宴,the wedding reception,撃退,repelling,検診,physical examination,抽象的,abstract,吹く,to blow,ぶさいくな,ugly
幸福,happiness,痛撃,severe attack,診断,diagnosis,最終的,final,飢饉に苦しむ,to suffer from famine,究極,ultimate
彼氏,the boyfriend,要撃,ambush,聴診器,stethoscope,対照的,contrastive,干ばつに耐える,to endure a drought,最終的に,ultimately
衣装,the costume,電撃的,shocking,診る,to examine (medically),致命的,fatal,水没する,to submerge,できません,unable
婚約者,the fiancée,迫撃砲,mortar,診療,diagnosis and treatment,人間的,human,犠牲者を支援する,to assist the victims,叔父,uncle
新郎,the groom,遊撃手,shortstop,診療所,clinic,根本的,fundamental,独身,single,下,under
初恋,the first love,迫撃,close attack,診察室,examining room,部分的,partial,刺身,sashimi,受ける,undergo
証人,the witness,電撃,electric shock,誤診,misdiagnosis,物質的,material,出身,one's origin,理解する,understand
婚約,the engagement,狙う,to aim at,診断書,medical certificate,感情的,emotional,自身,oneself,理解,understanding
新婚夫婦,the newlyweds,狙い,aim,受診,seeing a doctor,ネイルする,to nail,身長,stature,不幸にも,unfortunately
結婚する,to marry,狙撃兵,sniper,確率,probability,ボルト止めする,to bolt,全身,whole (body),ユニフォーム,uniform
女性,the woman,破る,"to tear, to rip",確か,"sure, certain",ろう付けする,to braze,身分,(social) standing,連合,union
妻,the wife,破壊,destruction,確り,"tightly, firmly",構築する,to build,中身,"contents, interior",左に,to the left
夫 / 配偶者,the husband/spouse,破片,fragment,正確,accurate,切る,to cut,心身,mind and body,外側,outside
ロマンチック,romantic,突破,breakthrough,確かめる,to make sure,解体する,to dismantle,受身,"defensive, passive",内部,inside
結婚記念日,the wedding anniversary,破損,damage,確認,confirmation,ケーブルを剥がす,to strip a cable,身近,close to one,の隅に,in the corner of
キス,the kiss,破く,"to tear, to rip",確実,"certain, sure",修復するために,to mend,身振り,gesture,周りに,around
花束,the bouquet,破れる,"to get torn, tear, rip",明確,"clear, precise",緩める,to loosen,身なり,"dress, attire",下に,"below, at the bottom of"
贈り物,the gift,破滅,"ruin, destruction",的確,"precise, accurate",ねじ込む,to screw down,身元,(one's) identity,外側,outside
心臓,the heart,打破,breaking down,確信,conviction,ねじを外す,to unscrew,長身,tall figure,正面,in front of
褒め言葉,the compliment,破局,catastrophe,確保,"securing, obtaining",修正する,to fix,一身,oneself,向かい,"facing, across"
一目ぼれ,love at first sight,破綻,"failure, collapse",確立,establishment,スクラブする,to scrub,身動き,moving about,上に,"above, at the top of"
カップル,the couple,見破る,to see through,確定,"decision, settlement",ファイルへ,to file,身内,relatives,の外,outside of
スピーチ,the speech,郵便局,post office,確固,"firm, resolute",測定する,to measure,出身者,alumnus,遥か,"far away, afar"
ゲスト,the guest,薬局,pharmacy,確約,firm promise,塗る,to paint,身の回り,one's daily life,近く,near
結婚,the marriage,結局,after all,不確実,uncertain,ドリルする,to drill,身辺,one's person,近い,close
新郎,the groom,局長,bureau director,不確か,uncertain,圧着する,to crimp,身代わり,substitution,に対して,against
蝶ネクタイ,the bow tie,当局,authorities,再確認,reaffirmation,トップレーン,to plane,変身,disguise,反対,opposite
パートナー,the partner,難局,difficult situation,初期設定,default settings,参加する,to join,前身,ancestor,の隣に,next to
タキシード,the tuxedo,局面,state of the game,設定,"establishment, setting",改修する,to renovate,身軽,agile,まで,"upto, as far as"
新婚旅行,the honeymoon trip,終局,"end, close",設計,plan,修理する,to repair,骨折,bone fracture​,限り,"until, to the limits"
同盟,the alliance,局員,clerk,建設,construction,復元する,to restore,露骨,"open, unconcealed",途中で,in the middle
リング,the ring,事務局,secretariat,設備,"equipment, facilities",封印する,to seal,骨格,skeleton,どこかに,somewhere
婚約指輪,the engagement ring,局部,"part, section",設ける,to prepare to provide,見た,to saw,軟骨,cartilage,超えて,beyond
市庁舎,the town hall,局地的,localized,設ける,"to set up, to establish",締めます,to tighten,背骨,spine,リモート,remote
式典,the ceremony,診察,medical examination,目的,"purpose, goal",壁紙へ,to wallpaper,骨抜き,deboning,遠く,"faraway, far-off"
ネクタイ,the tie,観察,observation,積極的,"proactive, positive",ねじ込む,to screw,拳骨,knuckles,距離,the distance
愛の宣言,the declaration of love,視察,inspection,消極的,"negative, passive",木工,the woodwork,骨身,flesh and bones,たしょ,elsewhere
名誉の女中,the maid of honor,察する,"to guess, to sense",的確,precise,電気,the electricity,骨組み,skeletal frame,ここに,here
抱擁,"the hug, embrace",考察,consideration,比較的,comparatively,石積み,the masonry,抜く,"to pull out, to omit",あそこ,over there
教会,the church,検察,examination,知的,intellectual,配管,the plumbing,抜ける,to come out,場所,the location
彼女,the girlfriend,察知,"sense, infer",先天的,inborn,彫刻,sculpture,抜かす,"to omit, to leave out",距離,the distance
結婚提案,the marriage proposal,警察署,police station,一般的,general,室内装飾品,the upholstery,抜き,"leaving out, omitting",まっすぐ,straight
驚き,the surprise,査察,inspection,経済的,economic,革細工,leatherwork,抜本的,drastic,どこでも,anywhere
半島,a peninsula,浜辺,a beach,山,a mountain,洞窟,a cave,境界,a boundary,垂直,the vertical
温泉,a hot spring,草地,a meadow,オアシス,an oasis,島,an island,のど,a throat,水平,the horizontal
丘,"hill, height, knoll",干す,"to air, to dry, to drain",汗,"sweat, moisture",多数決,majority decision,探求,"search, quest",垂直に,vertically
丘陵,hill,若干,"some, few",冷や汗,cold sweat,決心,determination,求職,job hunting,横に,horizontally
砂丘,sand dune,干物,dried fish,発汗,sweating,決定,decision,請求書,bill,上階,upstairs
干渉,interference,干天,drought,汗ばむ,to be sweaty,決まり,"rule, settlement",求婚,marriage proposal,階下,downstairs
交渉,negotiations,汁,"juice, soup",大汗,heavy sweating,可決,approval,請求権,claim rights,離れて,apart
和平交渉,peace talks,味噌汁,miso soup,汗する,to perspire,決意,decision,求心力,centripetal force,さておき,aside
渉る,to cross over,果汁,fruit juice,制汗剤,deodorant,決議,resolution,沢,"mountain stream, swamp",どちら側にも,on either side
氷,ice,煮汁,broth,手汗,palm sweat,対決,confrontation,沢山,a lot,両側に,on both sides
氷山,iceberg,つけ汁,dipping sauce,江戸,edo ,決算,settlement of accounts,光沢,brilliance,フォワード,forward
氷河,glacier,肉汁,meat soup,江戸時代,edo period,否決,rejection,贅沢,luxury,上下,up and down
流氷,drift ice,煮出し汁,"(soup) stock, broth",堀江,canal,採決,vote,潤沢,abundant,優れました,Superior
氷原,ice field,汚い,dirty,江戸川,edo river,決行,carrying out,贅沢品,luxury item,より低い,lower
氷点下,below freezing,汚染,pollution,江,"inlet, bay",評決,"decision, verdict",米沢牛,yonezawa beef,レベル,the level
氷点,frezing point,汚職,corruption,蒸気,"steam, vapour",意思決定,decision-making,沼沢,"marsh, swamp",に沿って,along
氷雨,cold rain,汚名,stigma,汽車,train (steam),決まって,always,沼沢地,wetland,あちこち,here and there
氷解,being cleared,汚れる,to get dirty,汽笛,steam whistle,未解決,unsolved,沖,open sea,どこにも,nowhere
初氷,first freezing,汚す,to pollute,蒸気船,steamboat,決別,separation,沖縄,okinawa,屋内,indoor
樹氷,frost on trees,汚れ,dirt,汽圧,steam pressure,決め手,decider,沖合,off the coast,使って,through
薄氷,thin ice,汚水,filthy water,汽水,brackish water,準決勝,semifinal,沖縄県,okinawa prefecture,並んで,side by side
かき氷,shaved ice,汚らわしい,filthy,汽缶,boiler,決着,conclusion,沖する,to rise up into the air,どこ,where
永遠,eternity,汚点,stain,汽船,steamboat,秘訣,secret,沈む,"to sink, to submerge",の終わりに,at the end of
永久,eternity,汚れ,uncleanness,解決,"settlement, solution",要求,"demand, firm request",沈黙,silence,の中で,among
永続,permanence,水質汚染,water pollution,決して,never,請求,"claim, demand",沈没,sinking,オーガニック,ganic
永住,permanent residence,環境汚染,environmental pollution,決める,to decide,求める,"to want, to request, to seek",沈める,"to sink, to submerge",芽キャベツ,brussels sprouts
永い,"long distance, long time",空気汚染,air pollution,決まる,to be decided,求人,recruiting,沈着,"settling, composure",生野菜,raw vegetables
永年,perennial,汚染物質,pollutant,判決,judicial decision,追求,pursuit,沈澱,precipitation,ほうれん草,spinach
日永,long day,口汚い,foul-mouthed,決断,decision,欲求,desire,沈下,sinking,豆,beans
防波堤,breakwater,政治,politics,沿い,along,活況,activity,限界状況,critical situation,緑の葉野菜,green leafy vegetables
寒波,cold wave​,自治,self-government,沿道,roadside,状況報告,situation report,状況によって,depending on the situation,季節の野菜,seasonal vegetables
周波数,frequency,治療,(medical) treatment,沿海,"coast, shore",進行状況,state of progress,大盛況,great success,旬の野菜,in-season vegetables
電磁波,electromagnetic wave,治める,"to govern, to manage",沿って,along,況してや,much less,泥棒,thief,乾燥野菜,dried vegetables
