Words,Reading,Meaning,Type,S1,T1
心配する,shinpai,"to be anxious, feel uneasy",suru,,
進歩する,shinpo,"to make progress, advance",suru,,
侵略する,shinryaku,to invade,suru,,
申請する,shinsei,to make out an application,suru,,
信用する,shinyō,"to trust, believe, place confidence in",suru,,
失敗する,shippai,to fail,suru,,
支出する,shishutsu,to spend (expenditures),suru,,
指摘する,shiteki,to point out,suru,,
質問する,shitsumon,to ask a question,suru,,
使用する,shiyō,"to use, employ, to apply",suru,,
食事する,shokuji,to take a meal,suru,,
消費する,shōhi,"to consume, expend",suru,,
紹介する,shōkai,"to introduce, present",suru,,
証明する,shōmei,"to prove, testify, certify",suru,,
昇進する,shōshin,to be promoted,suru,,
招待する,shōtai,to invite,suru,,
所有する,shoyū,"to own, possess",suru,,
所属する,shozoku,to belong to,suru,,
主張する,shuchō,"to insist on, assert, emphasize, claim",suru,,
集中する,shūchū,"to concentrate, centralize",suru,,
縮小する,shukushō,"to reduce, cut, curtail",suru,,
出版する,shuppan,"to publish, issue",suru,,
出発する,shuppatsu,"to leave for, depart",suru,,
修理する,shūri,"to repair, mend, fix, to service",suru,,
就職する,shūshoku,to find employment,suru,,
出演する,shutsuen,"to appear (film, play, tv, etc), to perform",suru,,
出席する,shusseki,to attend,suru,,
出張する,shutchō,to go on a business trip,suru,,
相談する,sōdan,"to consult, discuss",suru,,
掃除する,sōji,to clean,suru,,
存在する,sonzai,to exist,suru,,
操作する,sōsa,"to operate, handle, manage",suru,,
組織する,soshiki,"to organize, form",suru,,
卒業する,sotsugyō,to graduate from,suru,,
想像する,sōzō,"to imagine, guess",suru,,
推薦する,suisen,to recommend,suru,,
スタートする,スタートする,to start,suru,,
逮捕する,taiho,"to arrest, apprehend",suru,,
退院する,taiin,to be released from a hospital,suru,,
対立する,tairitsu,to be opposed,suru,,
探検する,tanken,to explore,suru,,
担当する,tantō,to take charge of,suru,,
達成する,tassei,"to achieve, attain, accomplish",suru,,
タッチする,tacchi,to touch,suru,,
提案する,teian,"to propose, suggest",suru,,
提出する,teishutsu,"to submit, present",suru,,
徹夜する,tetsuya,to work all night,suru,,
到着する,tōchaku,to arrive,suru,,
投票する,tōhyō,"to vote, cast a ballot",suru,,
統一する,tōitsu,"to unify, unite",suru,,
取り引きする,torihiki,to have dealings with,suru,,
当選する,tōsen,to be elected,suru,,
投資する,tōshi,to invest,suru,,
通知する,tsūchi,"to inform, give notice",suru,,
追加する,tsuika,"to supplement, add",suru,,
通過する,tsūka,"to pass, go through without stopping",suru,,
運営する,un’ei,"to manage, run, administer",suru,,
運転する,unten,"to drive, to manage (money)",suru,,
和解する,wakai,to be reconciled with,suru,,
約束する,yakusoku,to promise,suru,,
予防する,yobō,"to prevent, protect",suru,,
要求する,yōkyū,"to demand, claim",suru,,
養成する,yōsei,"to train, develop (a person)",suru,,
予習する,yoshū,to study beforehand,suru,,
予想する,yosō,"to predict, anticipate",suru,,
予約する,yoyaku,"to reserve, book",suru,,
誘拐する,yūkai,to kidnap,suru,,
輸入する,yunyū,to import,suru,,
優勝する,yūshō,to win a contest or championship,suru,,
輸出する,yushutsu,to export,suru,,
郵送する,yūsō,to send by mail,suru,,
誘惑する,yūwaku,"to tempt, lure, entice",suru,,
絶望する,zetsubō,"to have no hope, be in despair",suru,,
増加する,zōka,"to increase, grow, augment",suru,,
だ,だ,"be, is",copula,彼女は天才だ。,She is a genius.
である,である,"be, is",copula,彼女は教師である。,She is a teacher.
言う,いう,"to say, utter, declare, to name, call",godan,もう一度言ってくださいませんか。,"Could you repeat that, please?"
行く,いく,"to go, move, head towards, proceed",intrans.,一緒に行きます。,I'm coming with you.
見る,みる,"to see, look, watch, view, observe",trans.,じろじろ見る。,You're staring at me.
来る,くる,"to come, approach, arrive, come back",intrans.special,バスが来ましたよ。,The bus is here.
思う,おもう,"to think, consider, believe",trans.,それを思うとわくわくした。,I'm excited to think about it.
持つ,もつ,"to hold, take, carry, possess, have, own",trans.,彼は本を手に持っている。,He's got a book in his hand.
取る,とる,"to take, pick up, harvest, earn, choose, have",trans.,お手に取ってご覧ください。,Please take a look at it.
受ける,うける,"to receive, get, catch, struck by, sustain damage, incur loss",trans.,彼は大学から奨学金を受けている。,He's on scholarship from the university.
考える,かんがえる,"to think about, think over, ponder, reflect, consider",trans.,そんな発言をしたらどうなるか考えてみなさい。,Think about what would happen if you made a statement like that.
過ぎる,すぎる,"to pass through, go beyond, pass, elapse, to exceed",intrans.,眠っている間に列車は名古屋を過ぎた。,"While I slept, the train passed Nagoya."
始める,はじめる,"to start, begin, initiate, originate, start up, establish",trans.,先生は授業を始めた。,The teacher started teaching.
与える,あたえる,"to give someone, grant, bestow, present, award, provide",trans.,彼女はお金を与えた。,She gave money.
となる,となる,"to become, amount to",intrans.,数字は合計２３０となる。,The numbers total 230.
起こる,おこる,"to occur, happen",intrans.,何が起こったんだ？,What's happening?
付ける,つける,"to attach, join, add, append, affix, stick, wear, put on, allot",trans.,電気をつけて下さい。,Please turn on the lights.
送る,おくる,"to send, dispatch, transmit, take or escort, send off",trans.,それ誰に送るの？,Who are you sending that to?
続ける,つずける,"to continue, keep up, keep on",trans.,本を再び読み続けた。,I continued reading the book again.
感じる,かんじる,"to feel, sense, experience",ichidan,今朝は寒く感じる。,It feels cold this morning.
探す,さがす,"to search, look for, seek",trans.,財布探すの手伝ってくれない？,Can you help me find my wallet?
合う,あう,"to come together, merge, unite, meet, fit, match, suit, agree with, be correct, be profitable",intrans.,この道で合ってる？,Are you sure this is the right road?
信じる,しんじる,"to believe, place trust in, confide in, have faith in",trans.,僕は君の言葉を信じる。,I'll take your word for it.
求める,もとめる,"to want, wish for, request, demand, seek, search for, pursue, hunt, purchase, buy",trans.,名声を求めるな。,Don't seek fame.
落ちる,おちる,"to fall down, drop, fall, sink, fall onto",intrans.,秋には木の葉が落ちる。,"In autumn, the leaves fall from the trees."
見つける,みつける,"to discover, find, come across, detect, spot, locate",trans.,彼の家を見つけるのに苦労した。,I had a hard time finding his house.
選ぶ,えらぶ,"to choose, select",trans.,私はどちらを選ぶべきかわからない。,I don't know which one I should choose.
向かう,むかう,"to face, go towards, head towards",intrans.,彼女は明日東京に向かう。,She is leaving for Tokyo tomorrow.
払う,はらう,"to pay, brush off, wipe away, clear away, drive away, sell off",trans.,税金はどこで払うのですか。,Where do you pay your taxes?
付く,つく,"to be attached, be connected with, adhere, stick, cling",intrans.,この貯金には三分の利子が付く。,This savings account earns three quarters interest.
遅れる,おくれる,"to be late, be delayed, fall behind, be overdue, be outdated",intrans.,授業に遅れるよ。,I'm going to be late for class.
進む,すすむ,"to advance, go forward, precede, go ahead, make progress",intrans.,光は音よりも速く進む。,Light travels faster than sound.
驚く,おどろく,"to be surprised, be astonished",intrans.,それは驚くべき事だ。,It's amazing.
起こす,おこす,"to raise, raise up, set up, pick up, wake up, cause, bring about, lead to, start, begin",intrans.,倒れた椅子を起こした。,I set up a chair that had fallen.
失う,うしなう,"to lose, miss, concede",trans.,私はまだ望みを失っていない。,I have not lost all hope yet.
守る,まもる,"to protect, guard, defend, keep, abide, obey, observe, follow",trans.,予定は守らなければならない。,The schedule must be maintained.
勝つ,かつ,"to win, gain victory",intrans.,僕が多分勝てないと思ったと言った。,He said he thought I probably wouldn't win.
決める,きめる,"to decide, choose, determine, resolve, clinch",trans.,もう何をするか決めましたか。,Have you decided what to do yet?
生きる,いきる,"to live, exist, make a living, be in effect, be in use, function",intrans.,私たちは生きるために食べる。,We eat so that we can live.
上がる,あがる,"to rise, go up, come up, ascend, be raised, come in, improve, increase, be finished",intrans.,カーテンはまだ上がっていなかった。,The curtain has not yet risen.
変わる,かわる,"to change, be transformed, be altered, vary, be different, be uncommon, be unusual",intrans.,それにより状況が変る。,It changes the situation.
示す,しめす,"to show, demonstrate, tell, point out, indicate, represent, signify, display",trans.,彼はどの程度興味を示したのですか。,What degree of interest did he show?
怒る,おこる,"to get angry, get mad, tell someone off, scold",intrans.,彼は彼女のことをかんかんに怒っている。,He's very angry with her.
残る,のこる,"to remain, be left",intrans.,チケットは残ってた？,Were there any tickets left?
過ごす,すごす,"to pass (time), spend, overdo, drink, take care of, support, do too much",trans.,あなたと一緒に過ごすのが好き。,I like spending time with you.
調べる,しらべる,"to examine, look up, investigate, check up, sense, study, inquire, search",trans.,事故の原因を調べる。,Investigate the cause of the accident.
学ぶ,まなぶ,"to study (in depth), learn, take lessons in",godan,自然の脅威を学ぶ。,Learn about natural threats.
聞こえる,きこえる,"to be heard, be audible",intrans.,足音が聞こえなくなった。,The sound of the footsteps died away.
楽しむ,たのしむ,to enjoy,trans.,本を読んで楽しむ。,Enjoy reading books.
扱う,あつかう,"to deal with, treat, handle, take care of, entertain, operate, deal in",trans.,客をていねいに扱う。,Treat customers with care.
とする,とする,"to try to, be about to, decide to, take as, treat as, regard as, use for",suru,家を買おうとする人がたくさんいる。,There are many people trying to buy houses.
変える,かえる,"to change, alter, transform, convert, turn, vary, reform, revise, amend",trans.,態度を変える。,Change one's attitude.
盗む,ぬすむ,to steal,trans.,ゆうべ全財産を金庫ごと盗まれた。,"Last night all my money, safe and all, was stolen."
続く,つずく,"to continue, last on, go on, be unbroken, occur again and again, lead to, connect to",intrans.,今週は毎日暑い日が続いている。,It's been hot every day this week.
運ぶ,はこぶ,"to carry, transport, move, convey",trans.,その病人はすぐ救急車で病院に運ばれた。,The sick man was immediately taken to the hospital by ambulance.
当たる,あたる,"to be hit, strike, touch, be in contact, be affixed, be applicable, apply to",intrans.,風が帆に激しく当たった。,The wind hit the sails hard.
眠る,ねむる,"to sleep (not necessarily lying down), lie , idle, be dormant",intrans.,お茶を飲むと眠れなくなるよ。,Tea will keep you from sleeping.
