Rank,Verbs,Reading,Type,Meaning,S1,T1,S2,T2,S3,T3,Words
47471,聞き覚える,ききおぼえる,,,,,,,,,
47471,おわす,おわす,,,,,,,,,
47471,食い荒らす,くいあらす,,,,,,,,,
47471,討ち滅ぼす,うちほろぼす,,,,,,,,,
47471,漏れ出る,,,,,,,,,,
47471,剥がれ落ちる,,,,,,,,,,
47471,謁する,,,,,,,,,,
47471,言い繕う,いいつくろう,,,,,,,,,
47471,組み敷く,くみしく,,,,,,,,,
47471,来合わせる,きあわせる,,,,,,,,,
47471,思い込ます,,,,,,,,,,
47471,つまされる,つまされる,,,,,,,,,
47471,妻す,めあわす,,,,,,,,,
47471,脅し付ける,おどしつける,,,,,,,,,
47471,急かせる,,,,,,,,,,
47471,吹き鳴らす,ふきならす,,,,,,,,,
47471,味わわす,あじわわす,,,,,,,,,
47471,生け捕る,いけどる,,,,,,,,,
47471,死に掛かる,しにかかる,,,,,,,,,
47471,振り当てる,ふりあてる,,,,,,,,,
47471,突き上がる,つきあがる,,,,,,,,,
47471,濡れそぼつ,ぬれそぼつ,,,,,,,,,
47471,響き合う,,,,,,,,,,
47471,棹さす,さおさす,,,,,,,,,
47471,叩き壊す,たたきこわす,,,,,,,,,
47471,急き込む,せきこむ,,,,,,,,,
47471,むずかる,むずかる,,,,,,,,,
47471,踏み均す,ふみならす,,,,,,,,,
47471,逃げ散る,にげちる,,,,,,,,,
47471,選び抜く,,,,,,,,,,
47471,紡ぎ出す,,,,,,,,,,
47471,生き直す,,,,,,,,,,
47471,巡り歩く,,,,,,,,,,
47471,飛び退る,,,,,,,,,,
47471,落ち掛かる,おちかかる,,,,,,,,,
47471,漉く,すく,,,,,,,,,
47471,書き継ぐ,,,,,,,,,,
47471,彫り上げる,ほりあげる,,,,,,,,,
47471,埋め戻す,,,,,,,,,,
47471,罷り出る,,,,,,,,,,
47471,薨ずる,こうずる,,,,,,,,,
47471,すげる,すげる,,,,,,,,,
49232,組み直す,くみなおす,,,,,,,,,
49232,片す,かたす,,,,,,,,,
49232,トラブる,とらぶる,,,,,,,,,
49232,吹雪く,ふぶく,,,,,,,,,
49232,取り置く,とりおく,,,,,,,,,
49232,枯れ掛ける,,,,,,,,,,
49232,買い揃える,,,,,,,,,,
49232,毳立つ,けばだつ,,,,,,,,,
49232,住み替える,すみかえる,,,,,,,,,
49232,しゃしゃり出る,しゃしゃりでる,,,,,,,,,
49232,申し添える,もうしそえる,,,,,,,,,
49232,焼き増す,やきます,,,,,,,,,
49232,申し送る,もうしおくる,,,,,,,,,
49232,会わす,あわす,,,,,,,,,
49232,窄む,すぼむ,,,,,,,,,
49232,伸す,のす,,,,,,,,,
49232,鎖す,さす,,,,,,,,,
49232,掻き攫う,,,,,,,,,,
49232,借り切る,かりきる,,,,,,,,,
49232,噛みちぎる,,,,,,,,,,
49232,ふやかす,ふやかす,,,,,,,,,
49232,いとおしむ,いとおしむ,,,,,,,,,
49232,差し掛ける,さしかける,,,,,,,,,
49232,いちゃつく,いちゃつく,,,,,,,,,
49232,変わり行く,,,,,,,,,,
49232,罵り合う,ののしりあう,,,,,,,,,
49232,支払わす,,,,,,,,,,
49232,湿す,しめす,,,,,,,,,
49232,打っ魂消る,ぶったまげる,,,,,,,,,
49232,躍り込む,おどりこむ,,,,,,,,,
49232,刈り上げる,かりあげる,,,,,,,,,
49232,指し延ばす,さしのばす,,,,,,,,,
49232,鎧う,よろう,,,,,,,,,
49232,添い遂げる,そいとげる,,,,,,,,,
49232,焼け窶れる,,,,,,,,,,
49232,ほっつき歩く,ほっつきあるく,,,,,,,,,
49232,温む,ぬるむ,,,,,,,,,
49232,押っ放る,,,,,,,,,,
49232,巡り合わせる,めぐりあわせる,,,,,,,,,
49232,ずらかる,ずらかる,,,,,,,,,
49232,聞き違う,ききちがう,,,,,,,,,
49232,誅する,ちゅうする,,,,,,,,,
49232,伸し歩く,,,,,,,,,,
49232,飲み掛ける,のみかける,,,,,,,,,
49232,放り上げる,ほうりあげる,,,,,,,,,
49232,削げる,そげる,,,,,,,,,
49232,零れ出る,,,,,,,,,,
49232,揉み込む,,,,,,,,,,
49232,製する,せいする,,,,,,,,,
49232,ひっぺがす,ひっぺがす,,,,,,,,,
49232,射竦める,いすくめる,,,,,,,,,
49232,降り積む,ふりつむ,,,,,,,,,
49232,飛び離れる,とびはなれる,,,,,,,,,
49232,敵する,てきする,,,,,,,,,
49232,練り直す,ねりなおす,,,,,,,,,
49232,巻き上がる,まきあがる,,,,,,,,,
49232,取り急ぐ,とりいそぐ,,,,,,,,,
49232,張り倒す,はりたおす,,,,,,,,,
49232,乗り捨てる,のりすてる,,,,,,,,,
49232,竦み上がる,すくみあがる,,,,,,,,,
49232,立ち騒ぐ,たちさわぐ,,,,,,,,,
49232,蠢かす,うごめかす,,,,,,,,,
49232,吐き散らす,はきちらす,,,,,,,,,
49232,縁付く,,,,,,,,,,
49232,散ずる,さんずる,,,,,,,,,
49232,去り行く,,,,,,,,,,
49232,住み分ける,すみわける,,,,,,,,,
49232,注する,ちゅうする,,,,,,,,,
49232,這わす,はわす,,,,,,,,,
49232,署する,しょする,,,,,,,,,
49232,らりる,,,,,,,,,,
49232,妻せる,めあわせる,,,,,,,,,
49232,うつ伏せる,うつぶせる,,,,,,,,,
49232,吟ずる,ぎんずる,,,,,,,,,
49232,粘り付く,ねばりつく,,,,,,,,,
49232,細る,ほそる,,,,,,,,,
49232,論じ合う,ろんじあう,,,,,,,,,
49232,書する,しょする,,,,,,,,,
49232,カミツ,かみつ,,,,,,,,,
49232,舐めずる,,,,,,,,,,
49232,崩ずる,ほうずる,,,,,,,,,
49232,取り合わせる,とりあわせる,,,,,,,,,
49232,帰り来る,,,,,,,,,,
49232,足し合わせる,,,,,,,,,,
49232,告げ知らせる,つげしらせる,,,,,,,,,
49232,超え出る,,,,,,,,,,
49232,守り育てる,,,,,,,,,,
49232,学び合う,,,,,,,,,,
49232,掛け直す,かけなおす,,,,,,,,,
49232,読み出す,よみだす,,,,,,,,,
49232,説き明かす,ときあかす,,,,,,,,,
49232,加え混ぜる,,,,,,,,,,
51227,誘く,,,,,,,,,,
51227,通わす,かよわす,,,,,,,,,
51227,許し合う,ゆるしあう,,,,,,,,,
51227,焼き直す,やきなおす,,,,,,,,,
51227,跳ね飛ぶ,,,,,,,,,,
51227,降らす,ふらす,,,,,,,,,
51227,旅慣れる,たびなれる,,,,,,,,,
51227,芽ぐむ,めぐむ,,,,,,,,,
51227,篩い落とす,ふるいおとす,,,,,,,,,
51227,掛け違う,かけちがう,,,,,,,,,
51227,出さす,,,,,,,,,,
51227,擦り剥く,すりむく,,,,,,,,,
51227,かちあう,かちあう,,,,,,,,,
51227,漏れ聞える,もれきこえる,,,,,,,,,
51227,降り込む,ふりこむ,,,,,,,,,
51227,払い出す,はらいだす,,,,,,,,,
51227,吹きこぼれる,ふきこぼれる,,,,,,,,,
51227,跳び越える,とびこえる,,,,,,,,,
51227,仕残す,しのこす,,,,,,,,,
51227,ふける,ふける,,,,,,,,,
51227,突き通す,つきとおす,,,,,,,,,
51227,載せ替える,,,,,,,,,,
51227,召し捕る,めしとる,,,,,,,,,
51227,着付ける,きつける,,,,,,,,,
51227,惚気る,のろける,,,,,,,,,
51227,打ち続く,うちつづく,,,,,,,,,
51227,弥増す,いやます,,,,,,,,,
51227,食い合う,くいあう,,,,,,,,,
51227,追い打つ,おいうつ,,,,,,,,,
51227,投げ与える,,,,,,,,,,
51227,剃り落とす,そりおとす,,,,,,,,,
51227,駆けずり回る,かけずりまわる,,,,,,,,,
51227,ぬかずく,ぬかずく,,,,,,,,,
51227,刑する,けいする,,,,,,,,,
51227,祈ぐ,,,,,,,,,,
51227,眠らす,ねむらす,,,,,,,,,
51227,聞き質す,ききただす,,,,,,,,,
51227,縺れ込む,,,,,,,,,,
51227,食い詰める,くいつめる,,,,,,,,,
51227,縫い込む,ぬいこむ,,,,,,,,,
51227,磨き込む,みがきこむ,,,,,,,,,
51227,ときめかす,ときめかす,,,,,,,,,
51227,責め苛む,せめさいなむ,,,,,,,,,
51227,録する,ろくする,,,,,,,,,
51227,計り知る,はかりしる,,,,,,,,,
51227,馳せ付ける,はせつける,,,,,,,,,
51227,さんざめく,さんざめく,,,,,,,,,
51227,居合わす,いあわす,,,,,,,,,
51227,逃れ出る,,,,,,,,,,
51227,ちょん切る,ちょんぎる,,,,,,,,,
51227,煩わせる,わずらわせる,,,,,,,,,
51227,ずれ込む,ずれこむ,,,,,,,,,
51227,しみったれる,しみったれる,,,,,,,,,
51227,凭れ合う,,,,,,,,,,
51227,駆け下る,,,,,,,,,,
51227,冴え返る,さえかえる,,,,,,,,,
51227,捻り潰す,,,,,,,,,,
51227,派する,はする,,,,,,,,,
51227,分け隔てる,わけへだてる,,,,,,,,,
51227,おちょくる,おちょくる,,,,,,,,,
51227,煮染める,にしめる,,,,,,,,,
51227,泊り歩く,とまりあるく,,,,,,,,,
51227,打ち入る,うちいる,,,,,,,,,
51227,歌い踊る,,,,,,,,,,
51227,挑み掛かる,いどみかかる,,,,,,,,,
51227,教え導く,,,,,,,,,,
51227,打たす,うたす,,,,,,,,,
51227,聞き齧る,ききかじる,,,,,,,,,
51227,心付く,,,,,,,,,,
51227,持ち崩す,もちくずす,,,,,,,,,
51227,与え合う,,,,,,,,,,
51227,学び直す,,,,,,,,,,
51227,事足る,,,,,,,,,,
51227,混ずる,こんずる,,,,,,,,,
51227,燥ぎ回る,,,,,,,,,,
51227,取り殺す,とりころす,,,,,,,,,
51227,諾う,うべなう,,,,,,,,,
51227,凍らす,こおらす,,,,,,,,,
51227,捏ねくる,,,,,,,,,,
51227,掘り進める,,,,,,,,,,
51227,持する,じする,,,,,,,,,
51227,書き改める,かきあらためる,,,,,,,,,
51227,世慣れる,よなれる,,,,,,,,,
51227,しばれる,しばれる,,,,,,,,,
51227,競い立つ,きおいたつ,,,,,,,,,
51227,卑しめる,いやしめる,,,,,,,,,
51227,侍する,じする,,,,,,,,,
51227,延べる,のべる,,,,,,,,,
51227,釣り込む,つりこむ,,,,,,,,,
51227,取り集める,とりあつめる,,,,,,,,,
51227,刷り上がる,すりあがる,,,,,,,,,
51227,毒する,どくする,,,,,,,,,
51227,眺め下ろす,,,,,,,,,,
51227,尋ね出す,,,,,,,,,,
51227,誑し込む,たらしこむ,,,,,,,,,
51227,滑り出る,すべりでる,,,,,,,,,
51227,起き直る,おきなおる,,,,,,,,,
51227,伸ばし掛ける,,,,,,,,,,
51227,踏みしだく,ふみしだく,,,,,,,,,
51227,消え行く,,,,,,,,,,
51227,出外れる,ではずれる,,,,,,,,,
51227,服う,まつろう,,,,,,,,,
51227,攻め上がる,,,,,,,,,,
51227,含み笑う,ふくみわらう,,,,,,,,,
51227,駆け入る,かけいる,,,,,,,,,
51227,張り飛ばす,はりとばす,,,,,,,,,
51227,罷り越す,,,,,,,,,,
51227,訝しむ,いぶかしむ,,,,,,,,,
51227,悄気返る,しょげかえる,,,,,,,,,
51227,舞わす,まわす,,,,,,,,,
51227,脅し取る,おどしとる,,,,,,,,,
51227,繋がり合う,,,,,,,,,,
51227,預け入れる,あずけいれる,,,,,,,,,
51227,乗り超える,のりこえる,,,,,,,,,
51227,積み増す,,,,,,,,,,
51227,焼き込む,やきこむ,,,,,,,,,
51227,戻し入れる,,,,,,,,,,
51227,ハモる,はもる,,,,,,,,,
51227,滅する,めっする,,,,,,,,,
51227,繰り替える,くりかえる,,,,,,,,,
51227,飛び落ちる,,,,,,,,,,
53646,遅らす,おくらす,,,,,,,,,
53646,生す,むす,,,,,,,,,
53646,待ち合う,,,,,,,,,,
53646,ぶっ飛ぶ,ぶっとぶ,,,,,,,,,
53646,勝ち上がる,かちあがる,,,,,,,,,
53646,連れ回す,,,,,,,,,,
53646,手折る,たおる,,,,,,,,,
53646,吹っ切る,ふっきる,,,,,,,,,
53646,立ち代わる,,,,,,,,,,
53646,煮え立つ,にえたつ,,,,,,,,,
53646,遊び歩く,あそびあるく,,,,,,,,,
53646,恋い焦がれる,こいこがれる,,,,,,,,,
53646,組ます,くます,,,,,,,,,
53646,浮つく,うわつく,,,,,,,,,
53646,そっくり返る,そっくりかえる,,,,,,,,,
53646,並び替える,,,,,,,,,,
53646,呼び替える,,,,,,,,,,
53646,除ける,のける,,,,,,,,,
53646,ふんだくる,ふんだくる,,,,,,,,,
53646,勝ち進む,かちすすむ,,,,,,,,,
53646,歩かす,あるかす,,,,,,,,,
53646,殴り込む,なぐりこむ,,,,,,,,,
53646,思い惑う,おもいまどう,,,,,,,,,
53646,跳ね回る,はねまわる,,,,,,,,,
53646,慢ずる,まんずる,,,,,,,,,
53646,言い古す,いいふるす,,,,,,,,,
53646,掻き抱く,,,,,,,,,,
53646,組み伏せる,くみふせる,,,,,,,,,
53646,刳れる,,,,,,,,,,
53646,歩き疲れる,あるきつかれる,,,,,,,,,
53646,殴り返す,,,,,,,,,,
53646,類う,たぐう,,,,,,,,,
53646,削げ落ちる,そげおちる,,,,,,,,,
53646,手向ける,たむける,,,,,,,,,
53646,聾する,ろうする,,,,,,,,,
53646,掻き寄せる,かきよせる,,,,,,,,,
53646,射出す,いだす,,,,,,,,,
53646,逸り立つ,,,,,,,,,,
53646,空惚ける,そらとぼける,,,,,,,,,
53646,捻り上げる,ねじりあげる,,,,,,,,,
53646,寝過ごす,ねすごす,,,,,,,,,
53646,騒ぎ立つ,さわぎたつ,,,,,,,,,
53646,漕ぎ寄せる,,,,,,,,,,
53646,馳せ参じる,はせさんじる,,,,,,,,,
53646,入り掛ける,はいりかける,,,,,,,,,
53646,もがき苦しむ,,,,,,,,,,
53646,攻め下る,,,,,,,,,,
53646,考え及ぶ,かんがえおよぶ,,,,,,,,,
53646,押し迫る,おしせまる,,,,,,,,,
53646,抉り出す,えぐりだす,,,,,,,,,
53646,雪ぐ,すすぐ,,,,,,,,,
53646,掴み上げる,,,,,,,,,,
53646,招ずる,しょうずる,,,,,,,,,
53646,がっつく,がっつく,,,,,,,,,
53646,凹ます,へこます,,,,,,,,,
53646,眺め入る,ながめいる,,,,,,,,,
53646,言い負かす,いいまかす,,,,,,,,,
53646,腐す,くさす,,,,,,,,,
53646,縢る,かがる,,,,,,,,,
53646,寂びる,さびる,,,,,,,,,
53646,狩り集める,かりあつめる,,,,,,,,,
53646,掃き清める,はききよめる,,,,,,,,,
53646,ぱらつく,ぱらつく,,,,,,,,,
53646,叩き売る,たたきうる,,,,,,,,,
53646,競り上げる,せりあげる,,,,,,,,,
53646,記する,きする,,,,,,,,,
53646,隣り合わせる,となりあわせる,,,,,,,,,
53646,寝ぬ,いぬ,,,,,,,,,
53646,滅び去る,,,,,,,,,,
53646,閲する,けみする,,,,,,,,,
53646,逃れ去る,,,,,,,,,,
53646,逃げ戻る,,,,,,,,,,
53646,老いさらばえる,おいさらばえる,,,,,,,,,
53646,切れ上がる,きれあがる,,,,,,,,,
53646,征する,せいする,,,,,,,,,
53646,説き聞かせる,とききかせる,,,,,,,,,
53646,ぶち切れる,,,,,,,,,,
53646,言い出る,,,,,,,,,,
53646,血塗る,ちぬる,,,,,,,,,
53646,卜する,ぼくする,,,,,,,,,
53646,引き直す,ひきなおす,,,,,,,,,
53646,踏み堪える,ふみこたえる,,,,,,,,,
53646,透かし見る,すかしみる,,,,,,,,,
53646,武張る,ぶばる,,,,,,,,,
53646,刻する,こくする,,,,,,,,,
53646,天翔る,あまかける,,,,,,,,,
53646,刷く,はく,,,,,,,,,
53646,切り立てる,,,,,,,,,,
53646,凍え死ぬ,こごえしぬ,,,,,,,,,
53646,蕩かす,とろかす,,,,,,,,,
53646,這い寄る,はいよる,,,,,,,,,
53646,鍛え直す,,,,,,,,,,
53646,陣する,じんする,,,,,,,,,
53646,分かち持つ,,,,,,,,,,
53646,節する,せっする,,,,,,,,,
53646,刈り払う,,,,,,,,,,
53646,掻き取る,かきとる,,,,,,,,,
53646,借り換える,,,,,,,,,,
53646,執する,しゅうする,,,,,,,,,
53646,訓ずる,,,,,,,,,,
53646,言向く,,,,,,,,,,
53646,縛する,ばくする,,,,,,,,,
56342,照り返す,てりかえす,,,,,,,,,
56342,穿り出す,ほじくりだす,,,,,,,,,
56342,いびる,いびる,,,,,,,,,
56342,嗅ぎ当てる,かぎあてる,,,,,,,,,
56342,聞き違える,ききちがえる,,,,,,,,,
56342,染み出す,しみだす,,,,,,,,,
56342,書き並べる,かきならべる,,,,,,,,,
56342,食い逸れる,くいはぐれる,,,,,,,,,
56342,年取る,,,,,,,,,,
56342,飲んだくれる,のんだくれる,,,,,,,,,
56342,溶かし込む,,,,,,,,,,
56342,穿り返す,ほじくりかえす,,,,,,,,,
56342,交じり合う,まじりあう,,,,,,,,,
56342,生え揃う,,,,,,,,,,
56342,打ち当てる,うちあてる,,,,,,,,,
56342,踏ん切る,,,,,,,,,,
56342,結び直す,,,,,,,,,,
56342,思い為す,おもいなす,,,,,,,,,
56342,驕り高ぶる,,,,,,,,,,
56342,踏み荒らす,ふみあらす,,,,,,,,,
56342,突き倒す,つきたおす,,,,,,,,,
56342,猛り狂う,たけりくるう,,,,,,,,,
56342,蹴り込む,けりこむ,,,,,,,,,
56342,着せ替える,きせかえる,,,,,,,,,
56342,泳ぎ回る,およぎまわる,,,,,,,,,
56342,掏る,する,,,,,,,,,
56342,躙る,,,,,,,,,,
56342,垂れ込む,たれこむ,,,,,,,,,
56342,見晴かす,みはるかす,,,,,,,,,
56342,用する,ようする,,,,,,,,,
56342,狙い打つ,ねらいうつ,,,,,,,,,
56342,選り抜く,えりぬく,,,,,,,,,
56342,泣き濡れる,なきぬれる,,,,,,,,,
56342,恋い慕う,こいしたう,,,,,,,,,
56342,のたくる,のたくる,,,,,,,,,
56342,湧き返る,わきかえる,,,,,,,,,
56342,病み衰える,,,,,,,,,,
56342,光らす,ひからす,,,,,,,,,
56342,徴する,ちょうする,,,,,,,,,
56342,へし合う,へしあう,,,,,,,,,
56342,臥せる,ふせる,,,,,,,,,
56342,踏み破る,ふみやぶる,,,,,,,,,
56342,突き掛かる,つきかかる,,,,,,,,,
56342,行き倒れる,,,,,,,,,,
56342,送り合う,,,,,,,,,,
56342,述べ合う,のべあう,,,,,,,,,
56342,咲き揃う,さきそろう,,,,,,,,,
56342,抜き去る,ぬきさる,,,,,,,,,
56342,編み上げる,あみあげる,,,,,,,,,
56342,伏し拝む,ふしおがむ,,,,,,,,,
56342,約める,つづめる,,,,,,,,,
56342,つま弾く,つまびく,,,,,,,,,
56342,こかす,こかす,,,,,,,,,
56342,拭い取る,ぬぐいとる,,,,,,,,,
56342,群れ飛ぶ,むれとぶ,,,,,,,,,
56342,茹で上げる,,,,,,,,,,
56342,心打つ,,,,,,,,,,
56342,按ずる,あんずる,,,,,,,,,
56342,結わえ付ける,ゆわえつける,,,,,,,,,
56342,歩み出す,,,,,,,,,,
56342,咲かす,さかす,,,,,,,,,
56342,言い足す,いいたす,,,,,,,,,
56342,尋ね当てる,たずねあてる,,,,,,,,,
56342,番う,つがう,,,,,,,,,
56342,賦する,ふする,,,,,,,,,
56342,吊り下がる,,,,,,,,,,
56342,悩み抜く,なやみぬく,,,,,,,,,
56342,ぼやかす,ぼやかす,,,,,,,,,
56342,並み居る,なみいる,,,,,,,,,
56342,立ち消える,たちぎえる,,,,,,,,,
56342,諷する,,,,,,,,,,
56342,分け持つ,わけもつ,,,,,,,,,
56342,盗み取る,ぬすみとる,,,,,,,,,
56342,追い散らす,おいちらす,,,,,,,,,
56342,分かち与える,わかちあたえる,,,,,,,,,
56342,督する,とくする,,,,,,,,,
56342,テンパる,てんぱる,,,,,,,,,
56342,呼び分ける,よびわける,,,,,,,,,
56342,引き移る,ひきうつる,,,,,,,,,
56342,黙す,,,,,,,,,,
56342,申し受ける,もうしうける,,,,,,,,,
56342,驚き呆れる,,,,,,,,,,
56342,騙くらかす,だまくらかす,,,,,,,,,
56342,押し詰める,おしつめる,,,,,,,,,
56342,繰り延べる,くりのべる,,,,,,,,,
56342,飛び歩く,とびあるく,,,,,,,,,
56342,攻め取る,せめとる,,,,,,,,,
56342,差し入る,,,,,,,,,,
56342,手挟む,たばさむ,,,,,,,,,
56342,身動ぐ,みじろぐ,,,,,,,,,
56342,走り過ぎる,はしりすぎる,,,,,,,,,
56342,縫い止める,,,,,,,,,,
56342,捩じ向ける,,,,,,,,,,
56342,褪める,さめる,,,,,,,,,
56342,吹き散らす,ふきちらす,,,,,,,,,
56342,歩み入る,,,,,,,,,,
56342,攻め懸ける,せめかける,,,,,,,,,
56342,漏れ聞く,もれきく,,,,,,,,,
56342,貧する,ひんする,,,,,,,,,
56342,切り捌く,,,,,,,,,,
56342,忍び泣く,しのびなく,,,,,,,,,
56342,峙つ,そばだつ,,,,,,,,,
56342,折り取る,,,,,,,,,,
56342,出で来る,,,,,,,,,,
56342,往ぬ,いぬ,,,,,,,,,
56342,舁く,かく,,,,,,,,,
56342,当て擦る,あてこする,,,,,,,,,
56342,出で立つ,いでたつ,,,,,,,,,
56342,読み違える,よみちがえる,,,,,,,,,
56342,貸し下げる,,,,,,,,,,
56342,削ぎ取る,そぎとる,,,,,,,,,
56342,寄り縋る,よりすがる,,,,,,,,,
56342,数え立てる,かぞえたてる,,,,,,,,,
56342,攻め滅ぼす,せめほろぼす,,,,,,,,,
56342,湯引く,ゆびく,,,,,,,,,
56342,擦り混ぜる,,,,,,,,,,
59421,終らす,おわらす,,,,,,,,,
59421,投げ合う,なげあう,,,,,,,,,
59421,酔わす,よわす,,,,,,,,,
59421,習わす,ならわす,,,,,,,,,
59421,ほっぽる,ほっぽる,,,,,,,,,
59421,料る,りょうる,,,,,,,,,
59421,食べ歩く,たべあるく,,,,,,,,,
59421,すげ替える,すげかえる,,,,,,,,,
59421,遊び疲れる,,,,,,,,,,
59421,言い足りる,,,,,,,,,,
59421,乗り越す,のりこす,,,,,,,,,
59421,擦り剥ける,すりむける,,,,,,,,,
59421,糾う,あざなう,,,,,,,,,
59421,書き分ける,かきわける,,,,,,,,,
59421,叩き返す,たたきかえす,,,,,,,,,
59421,泣き疲れる,,,,,,,,,,
59421,握り込む,,,,,,,,,,
