Words,Reading,Meaning,Type,S1,S2,T1,T2,T3,S3,W1,W2,W3
遅刻する,chikoku,"to be late, tardy",suru,,,"遅 - slow, late, back, later","刻 - engrave, cut fine, chop, time",,,,,
貯金する,chokin,to save money,suru,,,"貯 - savings, store, lay in",金 - gold,,,,,
調査する,chōsa,"to investigate, inquire into, examine",suru,,,"調 - tune, tone, meter, key (music), investigate",査 - investigate,,,,,
調整する,chōsei,"to regulate, adjust",suru,,,"調 - tune, tone, meter, key (music), investigate","整 - organize, arranging, tune, tone",,,,,
ちゅうちょする,chūcho,"to hesitate, waver, vacillate",suru,,,,,,,,,
注意する,chūi,"to be careful of, pay attention to",suru,,,"注 - pour, irrigate, shed (tears), flow into","意 - idea, mind, heart, taste, thought",,,,,
中継する,chūkei,to relay (a broadcast),suru,,,"中 - in, inside, middle, mean, center","継 - inherit, succeed, continue, patch",,,,,
忠告する,chūkoku,to warn,suru,,,"忠 - loyalty, fidelity, faithfulness","告 - revelation, tell, inform, announce",,,,,
注目する,chūmoku,"to observe, take notice of",suru,,,"注 - pour, irrigate, shed (tears), flow into","目 - eye, class, look, insight",Nobody took any notice of the book.,その書物はだれからも注目されなかった,,,
注文する,chūmon,"to order (food, goods)",suru,,,"注 - pour, irrigate, shed (tears), flow into","文 - sentence, literature, style, art",,,,,
中止する,chūshi,"to stop, discontinue, call off",suru,,,"中 - in, inside, middle, mean, center","止 - stop, halt",,,,,
ダウンロードする,daunrōdo,to download (for Internet),suru,,,,,,,,,
妥協する,dakyō,to compromise,suru,,,"妥 - gentle, peace, depravity","協 - co-, cooperation",,,,,
ダンスする,dansu,to dance,suru,,,,,,,,,
電話する,denwa,to make a telephone call,suru,,,電 - electricity,"話 - tale, talk",,,,,
独立する,dokuritsu,to become independent,suru,,,"独 - single, alone, spontaneously","立 - stand up, rise, set up",,,,,
同意する,dōi,"to agree, approve",suru,,,"同 - same, agree, equal","意 - idea, mind, heart, taste, thought",,,,,
導入する,dōnyū,"to bring in, introduce",suru,,,"導 - guidance, leading, conduct, usher","入 - enter, insert",,,,,
ドラッグする,doraggu,to drag with a (computer) mouse,suru,,,,,,,,,
努力する,doryoku,"to make an effort, work hard",suru,,,"努 - toil, diligent, as much as possible","力 - power, strength, strong, strain",,,,,
営業する,eigyō,"to do business, be open",suru,,,"営 - occupation, camp, perform, build","業 - business, vocation, arts, performance",,,,,
影響する,eikyō,"to influence, affect",suru,,,"影 - shadow, silhouette, phantom","響 - echo, sound, resound, ring, vibrate",,,,,
延長する,enchō,"to extend, lengthen",suru,,,"延 - prolong, stretching","長 - long, leader, superior, senior",,,,,
演技する,engi,"to act, perform",suru,,,"演 - performance, act, play, render","技 - skill, art, craft, ability, feat",,,,,
援助する,enjo,"to assist, help, support, aid",suru,,,"援 - abet, help, save","助 - help, rescue, assist",,,,,
延期する,enki,"to postpone, put off",suru,,,"延 - prolong, stretching","期 - period, time, date, term",,,,,
遠慮する,enryo,"to refrain, hold back",suru,,,"遠 - distant, far","慮 - prudence, thought, concern, consider",,,,,
ファックスする,fakkusu,to fax,suru,,,,,,,,,
フォローする,forō,to follow on line,suru,,,,,,,,,
復活する,fukkatsu,"to revive, restore",suru,,,"復 - restore, return to, revert, resume","活 - lively, resuscitation, being helped, living",,,,,
復習する,fukushū,"to review, go over",suru,,,"復 - restore, return to, revert, resume",習 - learn,,,,,
復讐する,fukushū,to revenge,suru,,,"復 - restore, return to, revert, resume","讐 - enemy, revenge",,,,,
普及する,fukyū,"to spread, diffuse",suru,,,"普 - universal, wide(ly), generally","及 - reach out, exert, exercise, cause",,,,,
赴任する,funin,to leave for one’s new post,suru,,,"赴 - proceed, get, become, tend","任 - responsibility, duty, term, entrust to",,,,,
不足する,fusoku,"to be short of, be lacking",suru,,,"不 - negative, non-, bad, ugly, clumsy","足 - leg, foot, be sufficient",,,,,
負担する,futan,to bear the weight of,suru,,,"負 - defeat, negative, -, minus, bear, owe","担 - shouldering, carry, raise, bear",,,,,
我慢する,gaman,"to be patient, endure",suru,,,"我 - ego, I, selfish, our, oneself","慢 - ridicule, laziness",,,,,
減少する,genshō,to decrease,suru,,,"減 - dwindle, decrease, reduce, decline","少 - few, little",,,,,
限定する,gentei,"to limit, restrict",suru,,,"限 - limit, restrict, to best of ability","定 - determine, fix, establish, to decide",,,,,
議論する,giron,"to argue, discuss,debate",suru,,,"議 - deliberation, consultation, debate","論 - argument, discourse",,,,,
誤解する,gokai,to misunderstand,suru,,,"誤 - mistake, err, do wrong, mislead","解 - unravel, notes, key, explanation",,,,,
合格する,gōkaku,to pass an examination,suru,,,"合 - fit, suit, join","格 - status, rank, capacity, character",,,,,
合計する,gōkei,"to add up, total",suru,,,"合 - fit, suit, join","計 - plot, plan, scheme, measure",,,,,
ハグする,hagu,to hug,suru,,,,,,,,,
廃止する,haishi,"to abolish, do away with, repeal",suru,,,"廃 - abolish, obsolete, cessation, discarding","止 - stop, halt",,,,,
配達する,haitatsu,to deliver,suru,,,"配 - distribute, spouse, exile, rationing","達 - accomplished, reach, arrive, attain",,,,,
破壊する,hakai,"to destroy, break, ruin",suru,,,"破 - rend, rip, tear, break, destroy","壊 - demolition, break, destroy",,,,,
発行する,hakkō,"to publish, issue, bring out",suru,,,"発 - departure, discharge, publish, emit","行 - going, journey, carry out, conduct",,,,,
反映する,han’ei,to reflect,suru,,,反 - anti,"映 - reflect, reflection, projection",,,,,
繁栄する,han’ei,"to prosper, flourish",suru,,,"繁 - luxuriant, thick, overgrown, frequency","栄 - flourish, prosperity, honor, glory",,,,,
判断する,handan,"to judge, conclude",suru,,,"判 - judgement, signature, stamp, seal","断 - severance, decline, refuse, apologize, warn",,,,,
反省する,hansei,"to reflect on oneself,reconsider",suru,,,反 - anti,"省 - focus, government ministry, conserve",,,,,
反対する,hantai,"to be against, be opposed",suru,,,反 - anti,"対 - vis-a-vis, opposite, even, equal, versus",,,,,
発売する,hatsubai,"to begin selling, put on the market",suru,,,"発 - departure, discharge, publish, emit",売 - sell,,,,,
発明する,hatsumei,to invent,suru,,,"発 - departure, discharge, publish, emit","明 - bright, light, the day breaks",,,,,
発展する,hatten,"to develop, expand",suru,,,"発 - departure, discharge, publish, emit","展 - unfold, expand",,,,,
平均する,heikin,"to average, balance",suru,,,"平 - even, flat, peace","均 - level, average",,,,,
変化する,henka,"to change, alter, be transformed",suru,,,"変 - unusual, change, strange","化 - change, take the form of, influence",,,,,
編集する,henshū,"to edit, compile",suru,,,"編 - compilation, knit, plait, braid, twist, editing","集 - gather, meet, congregate",,,,,
批判する,hihan,to criticize,suru,,,"批 - criticism, strike","判 - judgement, signature, stamp, seal",,,,,
否定する,hitei,"to deny, negate",suru,,,"否 - negate, no, noes, refuse, decline, deny","定 - determine, fix, establish, to decide",,,,,
翻訳する,hon’yaku,to translate,suru,,,"翻 - flip, turn over, wave, flutter, change (mind)","訳 - translate, reason, circumstance, case",,,,,
報告する,hōkoku,"to report, inform",suru,,,"報 - report, news, reward, retribution","告 - revelation, tell, inform, announce",,,,,
訪問する,hōmon,"to visit, call on, pay a visit",suru,,,"訪 - call on, visit, look up, offer sympathy","問 - question, ask, problem",,,,,
保証する,hoshō,"to guarantee, warrant",suru,,,"保 - protect, guarantee, keep, preserve, sustain","証 - evidence, proof, certificate",,,,,
補償する,hoshō,"to compensate, make up for",suru,,,"補 - supplement, supply, make good, offset","償 - reparation, make up for, recompense",,,,,
評価する,hyōka,"to appraise, value",suru,,,"評 - evaluate, criticism, comment","価 - value, price",,,,,
移動する,idou,"to move, transfer, migrate",suru,,,"移 - shift, move, drift, catch (cold, fire), pass into","動 - move, motion, change, confusion, shift",,,,,
違反する,ihan,to violate,suru,,,"違 - difference, differ",反 - anti,,,,,
維持する,iji,"to maintain, support, keep",suru,,,"維 - fiber, tie, rope","持 - hold, have",,,,,
移行する,ikou,"to switch over to, migrate, transit",suru,,,"移 - shift, move, drift, catch (cold, fire), pass into","行 - going, journey, carry out, conduct",,,,,
引退する,intai,"to retire, give up one’s position",suru,,,"引 - pull, tug, jerk, admit, install, quote, refer to","退 - retreat, withdraw, retire, resign, repel, expel",,,,,
依頼する,irai,"to request, ask",suru,,,"依 - reliant, depend on, consequently, therefore","頼 - trust, request",,,,,
一致する,itchi,"to agree with, be in unison",suru,,,"一 - one, one radical (no.1)","致 - doth, do, send, forward, cause, exert, incur",,,,,
意図する,ito,"to intend to do, make a goal",suru,,,"意 - idea, mind, heart, taste, thought, desire, care","図 - map, drawing, plan, extraordinary",,,,,
ジャンプする,janpu,to jump,suru,,,,,,,,,
実験する,jikken,to experiment,suru,,,"実 - reality, truth, seed, fruit, nut","験 - verification, effect, testing",,,,,
実行する,jikkō,"to carry out, execute",suru,,,"実 - reality, truth, seed, fruit, nut","行 - going, journey, carry out, conduct",,,,,
自慢する,jiman,"to be proud, boast of, take pride in",suru,,,自 - oneself,"慢 - ridicule, laziness",,,,,
自立する,jiritsu,to become independent,suru,,,自 - oneself,"立 - stand up, rise, set up",,,,,
辞職する,jishoku,to resign,suru,,,"辞 - resign, word, term, expression","職 - post, employment, work",,,,,
実現する,jitsugen,"to be realized, come true",suru,,,"実 - reality, truth, seed, fruit, nut","現 - present, existing, actual",,,,,
ジョギングする,jogingu,to jog,suru,,,,,,,,,
上映する,jōei,to show a film,suru,,,"上 - above, up","映 - reflect, reflection, projection",,,,,
譲歩する,jōho,"to concede, give way to",suru,,,"譲 - defer, turnover, transfer, convey","歩 - walk, counter for steps",,,,,
上昇する,jōshō,"to go up, rise, ascend",suru,,,"上 - above, up",昇 - rise up,,,,,
準備する,junbi,to prepare,suru,,,"準 - semi-, correspond to, proportionate to","備 - equip, provision, preparation",,,,,
回復する,kaifuku,"to restore, recuperate",suru,,,"回 - -times, round, game, revolve","復 - restore, return to, revert, resume",,,,,
開発する,kaihatsu,"to develop, exploit",suru,,,"開 - open, unfold, unseal","発 - departure, discharge, publish, emit",,,,,
開放する,kaihō,to open a place to the public,suru,,,"開 - open, unfold, unseal","放 - set free, release, fire, shoot, emit",,,,,
解放する,kaihō,"to release, set a prisoner free",suru,,,"解 - unravel, notes, key, explanation","放 - set free, release, fire, shoot, emit",,,,,
改革する,kaikaku,"to reform, improve",suru,,,"改 - reformation, change, modify, mend, renew","革 - leather, skin, reform, become serious",,,,,
解決する,kaiketsu,"to settle, resolve",suru,,,"解 - unravel, notes, key, explanation","決 - decide, fix, agree upon, appoint",,,,,
開催する,kaisai,to hold (an event),suru,,,"開 - open, unfold, unseal","催 - sponsor, hold (a meeting), give (a dinner)",,,,,
改正する,kaisei,"to revise, amend, improve",suru,,,"改 - reformation, change, modify, mend, renew","正 - correct, justice, righteous",,,,,
解釈する,kaishaku,"to interpret, explain",suru,,,"解 - unravel, notes, key, explanation",釈 - explanation,,,,,
開拓する,kaitaku,"to reclaim, exploit, develop",suru,,,"開 - open, unfold, unseal","拓 - clear (the land), open, break up (land)",,,,,
下降する,kakō,"to come down, descend, drop",suru,,,"下 - below, down, descend, give, low, inferior","降 - descend, precipitate, fall, surrender",,,,,
加工する,kakō,"to process, manufacture",suru,,,"加 - add, addition, increase, join, include","工 - craft, construction",,,,,
拡大する,kakudai,"to magnify, enlarge, expand",suru,,,"拡 - broaden, extend, expand, enlarge","大 -  large, big",,,,,
確認する,kakunin,"to confirm, ascertain, verify, validate",suru,,,"確 - assurance, firm, tight, hard, solid, confirm","認 - acknowledge, witness, discern, recognize",,,,,
関係する,kankei,"to be related, have a relationship",suru,,,"関 - connection, barrier, gateway, concerning","係 - person in charge, connection, duty",,,,,
管理する,kanri,"to manage, control, administer",suru,,,"管 - pipe, tube, wind instrument, drunken talk","理 - logic, arrangement, reason, justice, truth",,,,,
観察する,kansatsu,"to observe, watch closely",suru,,,"観 - outlook, look, appearance, condition, view","察 - guess, presume, surmise, judge",,,,,
完成する,kansei,"to finish, complete",suru,,,"完 - perfect, completion, end","成 - turn into, become, get, grow, elapse, reach",,,,,
感心する,kanshin,"to admire, be impressed",suru,,,"感 - emotion, feeling, sensation","心 - mind, heart, spirit",,,,,
観賞する,kanshō,to appreciate,suru,,,"観 - outlook, look, appearance, condition, view","賞 - prize, reward, praise",,,,,
仮定する,katei,"to assume, suppose",suru,,,"仮 - sham, temporary, interim, assumed (name)","定 - determine, fix, establish, decide",,,,,
活動する,katsudō,to be active,suru,,,"活 - lively, resuscitation, being helped, living","動 - move, motion, change, confusion, shift",,,,,
活躍する,katsuyaku,"be active in, take an active part",suru,,,"活 - lively, resuscitation, being helped, living","躍 - leap, dance, skip",,,,,
カットする,katto,to cut,suru,,,,,,,,,
経営する,keiei,"to manage, conduct, run (a business)",suru,,,"経 - sutra, longitude, pass thru, expire, warp","営 - occupation, perform, build, conduct (business)",,,,,
経過する,keika,"to pass, elapse, expire",suru,,,"経 - sutra, longitude, pass thru, expire, warp","過 - overdo, exceed, go beyond, error",,,,,
計画する,keikaku,to plan,suru,,,"計 - plot, plan, scheme, measure","画 - brush-stroke, picture",,,,,
経験する,keiken,"to experience, undergo",suru,,,"経 - sutra, longitude, pass thru, expire, warp","験 - verification, effect, testing",,,,,
計算する,keisan,"to count, calculate, sum up",suru,,,"計 - plot, plan, scheme, measure","算 - calculate, divining, number, abacus, probability",,,,,
契約する,keiyaku,"to contract, make a contract with",suru,,,"契 - pledge, promise, vow","約 - promise, approximately, to shrink",,,,,
結婚する,kekkon,to marry,suru,,,"結 - tie, bind, contract, join, organize, do up hair",婚 - marriage,,,,,
見物する,kenbutsu,to go sightseeing,suru,,,"見 - see, hopes, chances, idea, opinion, look at","物 - thing, object, matter",,,,,
けんかする,kenka,"to quarrel, fight",suru,,,,,,,,,
研究する,kenkyū,"to study, research",suru,,,"研 - polish, study of, sharpen","究 - research, study",,,,,
研修する,kenshū,"to study, train, intern",suru,,,"研 - polish, study of, sharpen","修 - discipline, conduct oneself well, study, master",,,,,
検討する,kentō,"to examine, investigate, think over",suru,,,"検 - examination, investigate","討 - chastise, attack, defeat, destroy, conquer",,,,,
