W1,T1,W2,T2,W3,T3,W4,T4,W5,T5
結婚する,to marry,攻撃,"attack, assault",探検,exploration,洞察,"discernment, insight",さびた,rusty
離婚する,to divorce,撃つ,"to shoot, to fire",検査,inspection,診察室,examining room,壊れた,broken
キスをする,to kiss,衝撃,"shock, impact, crash",検討,"study, investigate",検察官,public prosecutor,脱線する,to derail
恋に落ちる,to be in love,打撃,"blow, shock, strike",検事,public prosecutor,偵察,scouting,破壊する,to destroy
従事する,to be engaged,襲撃,"attack, charge, raid",検問,inspection,社会的,social,荒廃させる,to devastate
愛し合う,to make love,反撃,counterattack,検閲,censorship,個人的,personal,粉砕する,to crush
いちゃつく,to flirt,目撃,witnessing,血液検査,blood test,基本的,fundamental,一掃する,to sweep away
誘惑する,seduce,砲撃,"bombarding, shelling",検証,verification,政治的,political,噴火する,to erupt
署名する,to sign,射撃,"firing, shooting",検定,official certification,精神的,mental,危機的状況になる,to be in critical condition
誰かと出かける,to go out with someone,衝撃波,shock wave,検察,examination,世界的,worldwide,嘘をつく,to lie fellow
恋に落ちる,to fall in love,爆撃,bombing (raid),検出,detection,自発的,spontaneous,供給不足,to be ill-fed
シングル,single,進撃,"advance, charge",車検,vehicle inspection,効果的,affective,栄養不良,to be ill-nourished
離婚した,divorced,直撃,direct hit,探検隊,expedition team,保守的,conservative,行方不明になる,to be missing
恋愛中,in love,出撃,"sortie, sally, attack",検索条件,search criteria,伝統的,traditional,避難する,to evacuate
結婚の誓い,the vows of marriage,撃墜,shooting down (aircraft),被験者,test subject,定期的,periodic,損傷する,to damage
あの花,the flowers,迎撃,intercept,再検討,re-examination,歴史的,historic,あふれさせる,to flood
愛してる,i love you,一撃,"blow, hit, stroke",探検家,explorer,典型的,typical,飢え死に,to die of hunger
友情,the friendship,撃ち合い,gunfight,検尿,urinalysis,国際的,international,救助する,to rescue
友だち,the friend,狙撃,"shooting, sniping",検問所,checkpoint,全面的,"total, complete",破壊する,to ravage
愛,love,攻撃的,"offensive, aggressive",検算,verification of accounts,具体的,concrete,崩壊する,to collapse
食前酒,the aperitif,撃ち抜く,to shoot out,検眼,eye examination,理想的,ideal,衝突する,to crash into
花嫁,the bride,目撃者,witness,検視,"autopsy, inquest",一時的,temporary,安全に到達する,to reach safety
情熱,the passion,撃破,crushing,検疫,quarantine,肉体的,physical,避難する,to take refuge
結婚披露宴,the wedding reception,撃退,repelling,検診,physical examination,抽象的,abstract,吹く,to blow
幸福,happiness,痛撃,severe attack,診断,diagnosis,最終的,final,飢饉に苦しむ,to suffer from famine
彼氏,the boyfriend,要撃,ambush,聴診器,stethoscope,対照的,contrastive,干ばつに耐える,to endure a drought
衣装,the costume,電撃的,shocking,診る,to examine (medically),致命的,fatal,水没する,to submerge
婚約者,the fiancée,迫撃砲,mortar,診療,diagnosis and treatment,人間的,human,犠牲者を支援する,to assist the victims
新郎,the groom,遊撃手,shortstop,診療所,clinic,根本的,fundamental,独身,single
初恋,the first love,迫撃,close attack,診察室,examining room,部分的,partial,刺身,sashimi
証人,the witness,電撃,electric shock,誤診,misdiagnosis,物質的,material,出身,one's origin
婚約,the engagement,狙う,to aim at,診断書,medical certificate,感情的,emotional,自身,oneself
新婚夫婦,the newlyweds,狙い,aim,受診,seeing a doctor,ネイルする,to nail,身長,stature
結婚する,to marry,狙撃兵,sniper,確率,probability,ボルト止めする,to bolt,全身,whole (body)
女性,the woman,破る,"to tear, to rip",確か,"sure, certain",ろう付けする,to braze,身分,(social) standing
妻,the wife,破壊,destruction,確り,"tightly, firmly",構築する,to build,中身,"contents, interior"
夫 / 配偶者,the husband/spouse,破片,fragment,正確,accurate,切る,to cut,心身,mind and body
ロマンチック,romantic,突破,breakthrough,確かめる,to make sure,解体する,to dismantle,受身,"defensive, passive"
結婚記念日,the wedding anniversary,破損,damage,確認,confirmation,ケーブルを剥がす,to strip a cable,身近,close to one
キス,the kiss,破く,"to tear, to rip",確実,"certain, sure",修復するために,to mend,身振り,gesture
花束,the bouquet,破れる,"to get torn, tear, rip",明確,"clear, precise",緩める,to loosen,身なり,"dress, attire"
贈り物,the gift,破滅,"ruin, destruction",的確,"precise, accurate",ねじ込む,to screw down,身元,(one's) identity
心臓,the heart,打破,breaking down,確信,conviction,ねじを外す,to unscrew,長身,tall figure
褒め言葉,the compliment,破局,catastrophe,確保,"securing, obtaining",修正する,to fix,一身,oneself
一目ぼれ,love at first sight,破綻,"failure, collapse",確立,establishment,スクラブする,to scrub,身動き,moving about
カップル,the couple,見破る,to see through,確定,"decision, settlement",ファイルへ,to file,身内,relatives
スピーチ,the speech,郵便局,post office,確固,"firm, resolute",測定する,to measure,出身者,alumnus
ゲスト,the guest,薬局,pharmacy,確約,firm promise,塗る,to paint,身の回り,one's daily life
結婚,the marriage,結局,after all,不確実,uncertain,ドリルする,to drill,身辺,one's person
新郎,the groom,局長,bureau director,不確か,uncertain,圧着する,to crimp,身代わり,substitution
蝶ネクタイ,the bow tie,当局,authorities,再確認,reaffirmation,トップレーン,to plane,変身,disguise
パートナー,the partner,難局,difficult situation,初期設定,default settings,参加する,to join,前身,ancestor
タキシード,the tuxedo,局面,state of the game,設定,"establishment, setting",改修する,to renovate,身軽,agile
新婚旅行,the honeymoon trip,終局,"end, close",設計,plan,修理する,to repair,骨折,bone fracture​
同盟,the alliance,局員,clerk,建設,construction,復元する,to restore,露骨,"open, unconcealed"
リング,the ring,事務局,secretariat,設備,"equipment, facilities",封印する,to seal,骨格,skeleton
婚約指輪,the engagement ring,局部,"part, section",設ける,to prepare to provide,見た,to saw,軟骨,cartilage
市庁舎,the town hall,局地的,localized,設ける,"to set up, to establish",締めます,to tighten,背骨,spine
式典,the ceremony,診察,medical examination,目的,"purpose, goal",壁紙へ,to wallpaper,骨抜き,deboning
ネクタイ,the tie,観察,observation,積極的,"proactive, positive",ねじ込む,to screw,拳骨,knuckles
愛の宣言,the declaration of love,視察,inspection,消極的,"negative, passive",木工,the woodwork,骨身,flesh and bones
名誉の女中,the maid of honor,察する,"to guess, to sense",的確,precise,電気,the electricity,骨組み,skeletal frame
抱擁,"the hug, embrace",考察,consideration,比較的,comparatively,石積み,the masonry,抜く,"to pull out, to omit"
教会,the church,検察,examination,知的,intellectual,配管,the plumbing,抜ける,to come out
彼女,the girlfriend,察知,"sense, infer",先天的,inborn,彫刻,sculpture,抜かす,"to omit, to leave out"
結婚提案,the marriage proposal,警察署,police station,一般的,general,室内装飾品,the upholstery,抜き,"leaving out, omitting"
驚き,the surprise,査察,inspection,経済的,economic,革細工,leatherwork,抜本的,drastic
半島,a peninsula,浜辺,a beach,山,a mountain,洞窟,a cave,境界,a boundary
温泉,a hot spring,草地,a meadow,オアシス,an oasis,島,an island,のど,a throat
丘,"hill, height, knoll",干す,"to air, to dry, to drain",汗,"sweat, moisture",多数決,majority decision,探求,"search, quest"
丘陵,hill,若干,"some, few",冷や汗,cold sweat,決心,determination,求職,job hunting
砂丘,sand dune,干物,dried fish,発汗,sweating,決定,decision,請求書,bill
干渉,interference,干天,drought,汗ばむ,to be sweaty,決まり,"rule, settlement",求婚,marriage proposal
交渉,negotiations,汁,"juice, soup",大汗,heavy sweating,可決,approval,請求権,claim rights
和平交渉,peace talks,味噌汁,miso soup,汗する,to perspire,決意,decision,求心力,centripetal force
渉る,to cross over,果汁,fruit juice,制汗剤,deodorant,決議,resolution,沢,"mountain stream, swamp"
氷,ice,煮汁,broth,手汗,palm sweat,対決,confrontation,沢山,a lot
氷山,iceberg,つけ汁,dipping sauce,江戸,edo ,決算,settlement of accounts,光沢,brilliance
氷河,glacier,肉汁,meat soup,江戸時代,edo period,否決,rejection,贅沢,luxury
流氷,drift ice,煮出し汁,"(soup) stock, broth",堀江,canal,採決,vote,潤沢,abundant
氷原,ice field,汚い,dirty,江戸川,edo river,決行,carrying out,贅沢品,luxury item
氷点下,below freezing,汚染,pollution,江,"inlet, bay",評決,"decision, verdict",米沢牛,yonezawa beef
氷点,frezing point,汚職,corruption,蒸気,"steam, vapour",意思決定,decision-making,沼沢,"marsh, swamp"
氷雨,cold rain,汚名,stigma,汽車,train (steam),決まって,always,沼沢地,wetland
氷解,being cleared,汚れる,to get dirty,汽笛,steam whistle,未解決,unsolved,沖,open sea
初氷,first freezing,汚す,to pollute,蒸気船,steamboat,決別,separation,沖縄,okinawa
樹氷,frost on trees,汚れ,dirt,汽圧,steam pressure,決め手,decider,沖合,off the coast
薄氷,thin ice,汚水,filthy water,汽水,brackish water,準決勝,semifinal,沖縄県,okinawa prefecture
かき氷,shaved ice,汚らわしい,filthy,汽缶,boiler,決着,conclusion,沖する,to rise up into the air
永遠,eternity,汚点,stain,汽船,steamboat,秘訣,secret,沈む,"to sink, to submerge"
永久,eternity,汚れ,uncleanness,解決,"settlement, solution",要求,"demand, firm request",沈黙,silence
永続,permanence,水質汚染,water pollution,決して,never,請求,"claim, demand",沈没,sinking
永住,permanent residence,環境汚染,environmental pollution,決める,to decide,求める,"to want, to request, to seek",沈める,"to sink, to submerge"
永い,"long distance, long time",空気汚染,air pollution,決まる,to be decided,求人,recruiting,沈着,"settling, composure"
永年,perennial,汚染物質,pollutant,判決,judicial decision,追求,pursuit,沈澱,precipitation
日永,long day,口汚い,foul-mouthed,決断,decision,欲求,desire,沈下,sinking
防波堤,breakwater,政治,politics,沿い,along,活況,activity,限界状況,critical situation
寒波,cold wave​,自治,self-government,沿道,roadside,状況報告,situation report,状況によって,depending on the situation
周波数,frequency,治療,(medical) treatment,沿海,"coast, shore",進行状況,state of progress,大盛況,great success
電磁波,electromagnetic wave,治める,"to govern, to manage",沿って,along,況してや,much less,泥棒,thief
衝撃波,shock wave,統治,"rule, reign",に沿って,"along, parallel to",状況証拠,circumstantial evidence,泥酔,being dead drunk
波紋,ripple,退治,extermination,道沿い,along the road,市況,market conditions,泥水,muddy water
荒波,raging waves,治まる,"to die down, to abate",壁沿い,along the wall,実況,"actual state, real condition",泥々,"muddy, vicious"
余波,after-effect,全治,complete recovery,海沿い,seashore,現況,present condition,泥流,mud flow
波止場,"wharf, jetty",運河,"canal, waterway",路線に沿って,along the route,近況,recent state,泊まる,to stay at (e.g. hotel)
